chapter	sentence	token id 	token	gold	prediction
wisteria01	8	0	He	O	O
wisteria01	8	1	shook	O	O
wisteria01	8	2	his	O	O
wisteria01	8	3	head	O	O
wisteria01	8	4	at	O	O
wisteria01	8	5	my	O	O
wisteria01	8	6	definition	O	O
wisteria01	8	7	.	O	O
wisteria01	9	0	``	O	O
wisteria01	9	1	There	O	O
wisteria01	9	2	is	O	O
wisteria01	9	3	surely	O	O
wisteria01	9	4	something	O	O
wisteria01	9	5	more	O	O
wisteria01	9	6	than	O	O
wisteria01	9	7	that	O	O
wisteria01	9	8	","	O	O
wisteria01	9	9	''	O	O
wisteria01	9	10	said	O	O
wisteria01	9	11	he	O	O
wisteria01	9	12	;	O	O
wisteria01	9	13	``	O	O
wisteria01	9	14	some	O	O
wisteria01	9	15	underlying	O	O
wisteria01	9	16	suggestion	O	O
wisteria01	9	17	of	O	O
wisteria01	9	18	the	O	O
wisteria01	9	19	tragic	O	O
wisteria01	9	20	and	O	O
wisteria01	9	21	the	O	O
wisteria01	9	22	terrible	O	O
wisteria01	9	23	.	O	O
wisteria01	10	0	If	O	O
wisteria01	10	1	you	O	O
wisteria01	10	2	cast	O	O
wisteria01	10	3	your	O	O
wisteria01	10	4	mind	O	O
wisteria01	10	5	back	O	O
wisteria01	10	6	to	O	O
wisteria01	10	7	some	O	O
wisteria01	10	8	of	O	O
wisteria01	10	9	those	O	O
wisteria01	10	10	narratives	O	O
wisteria01	10	11	with	O	O
wisteria01	10	12	which	O	O
wisteria01	10	13	you	O	O
wisteria01	10	14	have	O	O
wisteria01	10	15	afflicted	O	O
wisteria01	10	16	a	O	O
wisteria01	10	17	long-suffering	O	O
wisteria01	10	18	public	O	O
wisteria01	10	19	","	O	O
wisteria01	10	20	you	O	O
wisteria01	10	21	will	O	O
wisteria01	10	22	recognize	O	O
wisteria01	10	23	how	O	O
wisteria01	10	24	often	O	O
wisteria01	10	25	the	O	O
wisteria01	10	26	grotesque	O	O
wisteria01	10	27	has	O	O
wisteria01	10	28	deepened	O	O
wisteria01	10	29	into	O	O
wisteria01	10	30	the	O	O
wisteria01	10	31	criminal	O	O
wisteria01	10	32	.	O	O
wisteria01	11	0	Think	O	O
wisteria01	11	1	of	O	O
wisteria01	11	2	that	O	O
wisteria01	11	3	little	O	O
wisteria01	11	4	affair	O	O
wisteria01	11	5	of	O	O
wisteria01	11	6	the	O	O
wisteria01	11	7	red-headed	O	O
wisteria01	11	8	men	O	O
wisteria01	11	9	.	O	O
wisteria01	12	0	That	O	O
wisteria01	12	1	was	O	O
wisteria01	12	2	grotesque	O	O
wisteria01	12	3	enough	O	O
wisteria01	12	4	in	O	O
wisteria01	12	5	the	O	O
wisteria01	12	6	outset	O	O
wisteria01	12	7	","	O	O
wisteria01	12	8	and	O	O
wisteria01	12	9	yet	O	O
wisteria01	12	10	it	O	O
wisteria01	12	11	ended	O	O
wisteria01	12	12	in	O	O
wisteria01	12	13	a	O	O
wisteria01	12	14	desperate	O	O
wisteria01	12	15	attempt	O	O
wisteria01	12	16	at	O	O
wisteria01	12	17	robbery	O	O
wisteria01	12	18	.	O	O
wisteria01	13	0	Or	O	O
wisteria01	13	1	","	O	O
wisteria01	13	2	again	O	O
wisteria01	13	3	","	O	O
wisteria01	13	4	there	O	O
wisteria01	13	5	was	O	O
wisteria01	13	6	that	O	O
wisteria01	13	7	most	O	O
wisteria01	13	8	grotesque	O	O
wisteria01	13	9	affair	O	O
wisteria01	13	10	of	O	O
wisteria01	13	11	the	O	O
wisteria01	13	12	five	O	O
wisteria01	13	13	orange	O	O
wisteria01	13	14	pips	O	O
wisteria01	13	15	","	O	O
wisteria01	13	16	which	O	O
wisteria01	13	17	led	O	O
wisteria01	13	18	straight	O	O
wisteria01	13	19	to	O	O
wisteria01	13	20	a	O	O
wisteria01	13	21	murderous	O	O
wisteria01	13	22	conspiracy	O	O
wisteria01	13	23	.	O	O
wisteria01	14	0	The	O	O
wisteria01	14	1	word	O	O
wisteria01	14	2	puts	O	O
wisteria01	14	3	me	O	O
wisteria01	14	4	on	O	O
wisteria01	14	5	the	O	O
wisteria01	14	6	alert	O	O
wisteria01	14	7	.	O	O
wisteria01	14	8	''	O	O
wisteria01	15	0	``	O	O
wisteria01	15	1	Have	O	O
wisteria01	15	2	you	O	O
wisteria01	15	3	it	O	O
wisteria01	15	4	there	O	O
wisteria01	15	5	?	O	O
wisteria01	15	6	''	O	O
wisteria01	15	7	I	O	O
wisteria01	15	8	asked	O	O
wisteria01	15	9	.	O	O
wisteria01	16	0	He	O	O
wisteria01	16	1	read	O	O
wisteria01	16	2	the	O	O
wisteria01	16	3	telegram	O	O
wisteria01	16	4	aloud	O	O
wisteria01	16	5	.	O	O
wisteria01	17	0	``	O	O
wisteria01	17	1	Have	O	O
wisteria01	17	2	just	O	O
wisteria01	17	3	had	O	O
wisteria01	17	4	most	O	O
wisteria01	17	5	incredible	O	O
wisteria01	17	6	and	O	O
wisteria01	17	7	grotesque	O	O
wisteria01	17	8	experience	O	O
wisteria01	17	9	.	O	O
wisteria01	18	0	May	O	O
wisteria01	18	1	I	O	O
wisteria01	18	2	consult	O	O
wisteria01	18	3	you	O	O
wisteria01	18	4	?	O	O
wisteria01	19	0	``	O	O
wisteria01	19	1	Scott	O	O
wisteria01	19	2	Eccles	O	O
wisteria01	19	3	","	O	O
wisteria01	20	0	``	O	O
wisteria01	20	1	Post	O	O
wisteria01	20	2	Office	O	O
wisteria01	20	3	","	O	O
wisteria01	20	4	Charing	O	O
wisteria01	20	5	Cross	O	O
wisteria01	20	6	.	O	O
wisteria01	20	7	''	O	O
wisteria01	21	0	``	O	O
wisteria01	21	1	Man	O	O
wisteria01	21	2	or	O	O
wisteria01	21	3	woman	O	O
wisteria01	21	4	?	O	O
wisteria01	21	5	''	O	O
wisteria01	21	6	I	O	O
wisteria01	21	7	asked	O	O
wisteria01	21	8	.	O	O
wisteria01	22	0	``	O	O
wisteria01	22	1	Oh	O	O
wisteria01	22	2	","	O	O
wisteria01	22	3	man	O	O
wisteria01	22	4	","	O	O
wisteria01	22	5	of	O	O
wisteria01	22	6	course	O	O
wisteria01	22	7	.	O	O
wisteria01	23	0	No	B-NEG	B-NEG
wisteria01	23	1	woman	O	O
wisteria01	23	2	would	O	O
wisteria01	23	3	ever	O	O
wisteria01	23	4	send	O	O
wisteria01	23	5	a	O	O
wisteria01	23	6	reply-paid	O	O
wisteria01	23	7	telegram	O	O
wisteria01	23	8	.	O	O
wisteria01	24	0	She	O	O
wisteria01	24	1	would	O	O
wisteria01	24	2	have	O	O
wisteria01	24	3	come	O	O
wisteria01	24	4	.	O	O
wisteria01	24	5	''	O	O
wisteria01	25	0	``	O	O
wisteria01	25	1	Will	O	O
wisteria01	25	2	you	O	O
wisteria01	25	3	see	O	O
wisteria01	25	4	him	O	O
wisteria01	25	5	?	O	O
wisteria01	25	6	''	O	O
wisteria01	26	0	``	O	O
wisteria01	26	1	My	O	O
wisteria01	26	2	dear	O	O
wisteria01	26	3	Watson	O	O
wisteria01	26	4	","	O	O
wisteria01	26	5	you	O	O
wisteria01	26	6	know	O	O
wisteria01	26	7	how	O	O
wisteria01	26	8	bored	O	O
wisteria01	26	9	I	O	O
wisteria01	26	10	have	O	O
wisteria01	26	11	been	O	O
wisteria01	26	12	since	O	O
wisteria01	26	13	we	O	O
wisteria01	26	14	locked	O	O
wisteria01	26	15	up	O	O
wisteria01	26	16	Colonel	O	O
wisteria01	26	17	Carruthers	O	O
wisteria01	26	18	.	O	O
wisteria01	27	0	My	O	O
wisteria01	27	1	mind	O	O
wisteria01	27	2	is	O	O
wisteria01	27	3	like	O	O
wisteria01	27	4	a	O	O
wisteria01	27	5	racing	O	O
wisteria01	27	6	engine	O	O
wisteria01	27	7	","	O	O
wisteria01	27	8	tearing	O	O
wisteria01	27	9	itself	O	O
wisteria01	27	10	to	O	O
wisteria01	27	11	pieces	O	O
wisteria01	27	12	because	O	O
wisteria01	27	13	it	O	O
wisteria01	27	14	is	O	O
wisteria01	27	15	not	B-NEG	B-NEG
wisteria01	27	16	connected	O	O
wisteria01	27	17	up	O	O
wisteria01	27	18	with	O	O
wisteria01	27	19	the	O	O
wisteria01	27	20	work	O	O
wisteria01	27	21	for	O	O
wisteria01	27	22	which	O	O
wisteria01	27	23	it	O	O
wisteria01	27	24	was	O	O
wisteria01	27	25	built	O	O
wisteria01	27	26	.	O	O
wisteria01	28	0	Life	O	O
wisteria01	28	1	is	O	O
wisteria01	28	2	commonplace	O	O
wisteria01	28	3	","	O	O
wisteria01	28	4	the	O	O
wisteria01	28	5	papers	O	O
wisteria01	28	6	are	O	O
wisteria01	28	7	sterile	O	O
wisteria01	28	8	;	O	O
wisteria01	28	9	audacity	O	O
wisteria01	28	10	and	O	O
wisteria01	28	11	romance	O	O
wisteria01	28	12	seem	O	O
wisteria01	28	13	to	O	O
wisteria01	28	14	have	O	O
wisteria01	28	15	passed	O	O
wisteria01	28	16	forever	O	O
wisteria01	28	17	from	O	O
wisteria01	28	18	the	O	O
wisteria01	28	19	criminal	O	O
wisteria01	28	20	world	O	O
wisteria01	28	21	.	O	O
wisteria01	29	0	Can	O	O
wisteria01	29	1	you	O	O
wisteria01	29	2	ask	O	O
wisteria01	29	3	me	O	O
wisteria01	29	4	","	O	O
wisteria01	29	5	then	O	O
wisteria01	29	6	","	O	O
wisteria01	29	7	whether	O	O
wisteria01	29	8	I	O	O
wisteria01	29	9	am	O	O
wisteria01	29	10	ready	O	O
wisteria01	29	11	to	O	O
wisteria01	29	12	look	O	O
wisteria01	29	13	into	O	O
wisteria01	29	14	any	O	O
wisteria01	29	15	new	O	O
wisteria01	29	16	problem	O	O
wisteria01	29	17	","	O	O
wisteria01	29	18	however	O	O
wisteria01	29	19	trivial	O	O
wisteria01	29	20	it	O	O
wisteria01	29	21	may	O	O
wisteria01	29	22	prove	O	O
wisteria01	29	23	?	O	O
wisteria01	30	0	But	O	O
wisteria01	30	1	here	O	O
wisteria01	30	2	","	O	O
wisteria01	30	3	unless	O	O
wisteria01	30	4	I	O	O
wisteria01	30	5	am	O	O
wisteria01	30	6	mistaken	O	O
wisteria01	30	7	","	O	O
wisteria01	30	8	is	O	O
wisteria01	30	9	our	O	O
wisteria01	30	10	client	O	O
wisteria01	30	11	.	O	O
wisteria01	30	12	''	O	O
wisteria01	31	0	A	O	O
wisteria01	31	1	measured	O	O
wisteria01	31	2	step	O	O
wisteria01	31	3	was	O	O
wisteria01	31	4	heard	O	O
wisteria01	31	5	upon	O	O
wisteria01	31	6	the	O	O
wisteria01	31	7	stairs	O	O
wisteria01	31	8	","	O	O
wisteria01	31	9	and	O	O
wisteria01	31	10	a	O	O
wisteria01	31	11	moment	O	O
wisteria01	31	12	later	O	O
wisteria01	31	13	a	O	O
wisteria01	31	14	stout	O	O
wisteria01	31	15	","	O	O
wisteria01	31	16	tall	O	O
wisteria01	31	17	","	O	O
wisteria01	31	18	gray-whiskered	O	O
wisteria01	31	19	and	O	O
wisteria01	31	20	solemnly	O	O
wisteria01	31	21	respectable	O	O
wisteria01	31	22	person	O	O
wisteria01	31	23	was	O	O
wisteria01	31	24	ushered	O	O
wisteria01	31	25	into	O	O
wisteria01	31	26	the	O	O
wisteria01	31	27	room	O	O
wisteria01	31	28	.	O	O
wisteria01	32	0	His	O	O
wisteria01	32	1	life	O	O
wisteria01	32	2	history	O	O
wisteria01	32	3	was	O	O
wisteria01	32	4	written	O	O
wisteria01	32	5	in	O	O
wisteria01	32	6	his	O	O
wisteria01	32	7	heavy	O	O
wisteria01	32	8	features	O	O
wisteria01	32	9	and	O	O
wisteria01	32	10	pompous	O	O
wisteria01	32	11	manner	O	O
wisteria01	32	12	.	O	O
wisteria01	33	0	From	O	O
wisteria01	33	1	his	O	O
wisteria01	33	2	spats	O	O
wisteria01	33	3	to	O	O
wisteria01	33	4	his	O	O
wisteria01	33	5	gold-rimmed	O	O
wisteria01	33	6	spectacles	O	O
wisteria01	33	7	he	O	O
wisteria01	33	8	was	O	O
wisteria01	33	9	a	O	O
wisteria01	33	10	Conservative	O	O
wisteria01	33	11	","	O	O
wisteria01	33	12	a	O	O
wisteria01	33	13	churchman	O	O
wisteria01	33	14	","	O	O
wisteria01	33	15	a	O	O
wisteria01	33	16	good	O	O
wisteria01	33	17	citizen	O	O
wisteria01	33	18	","	O	O
wisteria01	33	19	orthodox	O	O
wisteria01	33	20	and	O	O
wisteria01	33	21	conventional	O	O
wisteria01	33	22	to	O	O
wisteria01	33	23	the	O	O
wisteria01	33	24	last	O	O
wisteria01	33	25	degree	O	O
wisteria01	33	26	.	O	O
wisteria01	34	0	But	O	O
wisteria01	34	1	some	O	O
wisteria01	34	2	amazing	O	O
wisteria01	34	3	experience	O	O
wisteria01	34	4	had	O	O
wisteria01	34	5	disturbed	O	O
wisteria01	34	6	his	O	O
wisteria01	34	7	native	O	O
wisteria01	34	8	composure	O	O
wisteria01	34	9	and	O	O
wisteria01	34	10	left	O	O
wisteria01	34	11	its	O	O
wisteria01	34	12	traces	O	O
wisteria01	34	13	in	O	O
wisteria01	34	14	his	O	O
wisteria01	34	15	bristling	O	O
wisteria01	34	16	hair	O	O
wisteria01	34	17	","	O	O
wisteria01	34	18	his	O	O
wisteria01	34	19	flushed	O	O
wisteria01	34	20	","	O	O
wisteria01	34	21	angry	O	O
wisteria01	34	22	cheeks	O	O
wisteria01	34	23	","	O	O
wisteria01	34	24	and	O	O
wisteria01	34	25	his	O	O
wisteria01	34	26	flurried	O	O
wisteria01	34	27	","	O	O
wisteria01	34	28	excited	O	O
wisteria01	34	29	manner	O	O
wisteria01	34	30	.	O	O
wisteria01	35	0	He	O	O
wisteria01	35	1	plunged	O	O
wisteria01	35	2	instantly	O	O
wisteria01	35	3	into	O	O
wisteria01	35	4	his	O	O
wisteria01	35	5	business	O	O
wisteria01	35	6	.	O	O
wisteria01	36	0	``	O	O
wisteria01	36	1	I	O	O
wisteria01	36	2	have	O	O
wisteria01	36	3	had	O	O
wisteria01	36	4	a	O	O
wisteria01	36	5	most	O	O
wisteria01	36	6	singular	O	O
wisteria01	36	7	and	O	O
wisteria01	36	8	unpleasant	B-NEG	B-NEG
wisteria01	36	9	experience	O	O
wisteria01	36	10	","	O	O
wisteria01	36	11	Mr.	O	O
wisteria01	36	12	Holmes	O	O
wisteria01	36	13	","	O	O
wisteria01	36	14	''	O	O
wisteria01	36	15	said	O	O
wisteria01	36	16	he	O	O
wisteria01	36	17	.	O	O
wisteria01	37	0	``	O	O
wisteria01	37	1	Never	B-NEG	B-NEG
wisteria01	37	2	in	O	O
wisteria01	37	3	my	O	O
wisteria01	37	4	life	O	O
wisteria01	37	5	have	O	O
wisteria01	37	6	I	O	O
wisteria01	37	7	been	O	O
wisteria01	37	8	placed	O	O
wisteria01	37	9	in	O	O
wisteria01	37	10	such	O	O
wisteria01	37	11	a	O	O
wisteria01	37	12	situation	O	O
wisteria01	37	13	.	O	O
wisteria01	38	0	It	O	O
wisteria01	38	1	is	O	O
wisteria01	38	2	most	O	O
wisteria01	38	3	improper	B-NEG	O
wisteria01	38	4	--	O	O
wisteria01	38	5	most	O	O
wisteria01	38	6	outrageous	O	O
wisteria01	38	7	.	O	O
wisteria01	39	0	I	O	O
wisteria01	39	1	must	O	O
wisteria01	39	2	insist	O	O
wisteria01	39	3	upon	O	O
wisteria01	39	4	some	O	O
wisteria01	39	5	explanation	O	O
wisteria01	39	6	.	O	O
wisteria01	39	7	''	O	O
wisteria01	40	0	He	O	O
wisteria01	40	1	swelled	O	O
wisteria01	40	2	and	O	O
wisteria01	40	3	puffed	O	O
wisteria01	40	4	in	O	O
wisteria01	40	5	his	O	O
wisteria01	40	6	anger	O	O
wisteria01	40	7	.	O	O
wisteria01	41	0	``	O	O
wisteria01	41	1	Pray	O	O
wisteria01	41	2	sit	O	O
wisteria01	41	3	down	O	O
wisteria01	41	4	","	O	O
wisteria01	41	5	Mr.	O	O
wisteria01	41	6	Scott	O	O
wisteria01	41	7	Eccles	O	O
wisteria01	41	8	","	O	O
wisteria01	41	9	''	O	O
wisteria01	41	10	said	O	O
wisteria01	41	11	Holmes	O	O
wisteria01	41	12	in	O	O
wisteria01	41	13	a	O	O
wisteria01	41	14	soothing	O	O
wisteria01	41	15	voice	O	O
wisteria01	41	16	.	O	O
wisteria01	42	0	``	O	O
wisteria01	42	1	May	O	O
wisteria01	42	2	I	O	O
wisteria01	42	3	ask	O	O
wisteria01	42	4	","	O	O
wisteria01	42	5	in	O	O
wisteria01	42	6	the	O	O
wisteria01	42	7	first	O	O
wisteria01	42	8	place	O	O
wisteria01	42	9	","	O	O
wisteria01	42	10	why	O	O
wisteria01	42	11	you	O	O
wisteria01	42	12	came	O	O
wisteria01	42	13	to	O	O
wisteria01	42	14	me	O	O
wisteria01	42	15	at	O	O
wisteria01	42	16	all	O	O
wisteria01	42	17	?	O	O
wisteria01	42	18	''	O	O
wisteria01	43	0	``	O	O
wisteria01	43	1	Well	O	O
wisteria01	43	2	","	O	O
wisteria01	43	3	sir	O	O
wisteria01	43	4	","	O	O
wisteria01	43	5	it	O	O
wisteria01	43	6	did	O	O
wisteria01	43	7	not	B-NEG	B-NEG
wisteria01	43	8	appear	O	O
wisteria01	43	9	to	O	O
wisteria01	43	10	be	O	O
wisteria01	43	11	a	O	O
wisteria01	43	12	matter	O	O
wisteria01	43	13	which	O	O
wisteria01	43	14	concerned	O	O
wisteria01	43	15	the	O	O
wisteria01	43	16	police	O	O
wisteria01	43	17	","	O	O
wisteria01	43	18	and	O	O
wisteria01	43	19	yet	O	O
wisteria01	43	20	","	O	O
wisteria01	43	21	when	O	O
wisteria01	43	22	you	O	O
wisteria01	43	23	have	O	O
wisteria01	43	24	heard	O	O
wisteria01	43	25	the	O	O
wisteria01	43	26	facts	O	O
wisteria01	43	27	","	O	O
wisteria01	43	28	you	O	O
wisteria01	43	29	must	O	O
wisteria01	43	30	admit	O	O
wisteria01	43	31	that	O	O
wisteria01	43	32	I	O	O
wisteria01	43	33	could	O	O
wisteria01	43	34	not	B-NEG	B-NEG
wisteria01	43	35	leave	O	O
wisteria01	43	36	it	O	O
wisteria01	43	37	where	O	O
wisteria01	43	38	it	O	O
wisteria01	43	39	was	O	O
wisteria01	43	40	.	O	O
wisteria01	44	0	Private	O	O
wisteria01	44	1	detectives	O	O
wisteria01	44	2	are	O	O
wisteria01	44	3	a	O	O
wisteria01	44	4	class	O	O
wisteria01	44	5	with	O	O
wisteria01	44	6	whom	O	O
wisteria01	44	7	I	O	O
wisteria01	44	8	have	O	O
wisteria01	44	9	absolutely	O	O
wisteria01	44	10	no	B-NEG	B-NEG
wisteria01	44	11	sympathy	O	O
wisteria01	44	12	","	O	O
wisteria01	44	13	but	O	O
wisteria01	44	14	none	O	B-NEG
wisteria01	44	15	the	O	O
wisteria01	44	16	less	O	O
wisteria01	44	17	","	O	O
wisteria01	44	18	having	O	O
wisteria01	44	19	heard	O	O
wisteria01	44	20	your	O	O
wisteria01	44	21	name	O	O
wisteria01	44	22	--	O	O
wisteria01	44	23	''	O	O
wisteria01	45	0	``	O	O
wisteria01	45	1	Quite	O	O
wisteria01	45	2	so	O	O
wisteria01	45	3	.	O	O
wisteria01	46	0	But	O	O
wisteria01	46	1	","	O	O
wisteria01	46	2	in	O	O
wisteria01	46	3	the	O	O
wisteria01	46	4	second	O	O
wisteria01	46	5	place	O	O
wisteria01	46	6	","	O	O
wisteria01	46	7	why	O	O
wisteria01	46	8	did	O	O
wisteria01	46	9	you	O	O
wisteria01	46	10	not	B-NEG	B-NEG
wisteria01	46	11	come	O	O
wisteria01	46	12	at	O	O
wisteria01	46	13	once	O	O
wisteria01	46	14	?	O	O
wisteria01	46	15	''	O	O
wisteria01	47	0	Holmes	O	O
wisteria01	47	1	glanced	O	O
wisteria01	47	2	at	O	O
wisteria01	47	3	his	O	O
wisteria01	47	4	watch	O	O
wisteria01	47	5	.	O	O
wisteria01	48	0	``	O	O
wisteria01	48	1	It	O	O
wisteria01	48	2	is	O	O
wisteria01	48	3	a	O	O
wisteria01	48	4	quarter-past	O	O
wisteria01	48	5	two	O	O
wisteria01	48	6	","	O	O
wisteria01	48	7	''	O	O
wisteria01	48	8	he	O	O
wisteria01	48	9	said	O	O
wisteria01	48	10	.	O	O
wisteria01	49	0	``	O	O
wisteria01	49	1	Your	O	O
wisteria01	49	2	telegram	O	O
wisteria01	49	3	was	O	O
wisteria01	49	4	dispatched	O	O
wisteria01	49	5	about	O	O
wisteria01	49	6	one	O	O
wisteria01	49	7	.	O	O
wisteria01	50	0	But	O	O
wisteria01	50	1	no	B-NEG	B-NEG
wisteria01	50	2	one	O	O
wisteria01	50	3	can	O	O
wisteria01	50	4	glance	O	O
wisteria01	50	5	at	O	O
wisteria01	50	6	your	O	O
wisteria01	50	7	toilet	O	O
wisteria01	50	8	and	O	O
wisteria01	50	9	attire	O	O
wisteria01	50	10	without	B-NEG	B-NEG
wisteria01	50	11	seeing	O	O
wisteria01	50	12	that	O	O
wisteria01	50	13	your	O	O
wisteria01	50	14	disturbance	O	O
wisteria01	50	15	dates	O	O
wisteria01	50	16	from	O	O
wisteria01	50	17	the	O	O
wisteria01	50	18	moment	O	O
wisteria01	50	19	of	O	O
wisteria01	50	20	your	O	O
wisteria01	50	21	waking	O	O
wisteria01	50	22	.	O	O
wisteria01	50	23	''	O	O
wisteria01	51	0	Our	O	O
wisteria01	51	1	client	O	O
wisteria01	51	2	smoothed	O	O
wisteria01	51	3	down	O	O
wisteria01	51	4	his	O	O
wisteria01	51	5	unbrushed	B-NEG	O
wisteria01	51	6	hair	O	O
wisteria01	51	7	and	O	O
wisteria01	51	8	felt	O	O
wisteria01	51	9	his	O	O
wisteria01	51	10	unshaven	B-NEG	O
wisteria01	51	11	chin	O	O
wisteria01	51	12	.	O	O
wisteria01	52	0	``	O	O
wisteria01	52	1	You	O	O
wisteria01	52	2	are	O	O
wisteria01	52	3	right	O	O
wisteria01	52	4	","	O	O
wisteria01	52	5	Mr.	O	O
wisteria01	52	6	Holmes	O	O
wisteria01	52	7	.	O	O
wisteria01	53	0	I	O	O
wisteria01	53	1	never	B-NEG	B-NEG
wisteria01	53	2	gave	O	O
wisteria01	53	3	a	O	O
wisteria01	53	4	thought	O	O
wisteria01	53	5	to	O	O
wisteria01	53	6	my	O	O
wisteria01	53	7	toilet	O	O
wisteria01	53	8	.	O	O
wisteria01	54	0	I	O	O
wisteria01	54	1	was	O	O
wisteria01	54	2	only	O	O
wisteria01	54	3	too	O	O
wisteria01	54	4	glad	O	O
wisteria01	54	5	to	O	O
wisteria01	54	6	get	O	O
wisteria01	54	7	out	O	O
wisteria01	54	8	of	O	O
wisteria01	54	9	such	O	O
wisteria01	54	10	a	O	O
wisteria01	54	11	house	O	O
wisteria01	54	12	.	O	O
